,0
Status,0.16369293717723177
Frequency_of_use,0.13661100560634706
Seconds_of_Use,0.12974928094090846
Complains,0.11601944014565528
Subscription__Length,0.1003475548302232
Customer_Value,0.09974295829365025
Frequency_of_SMS,0.07210545749414164
Distinct_Called_Numbers,0.06986005326300124
Call__Failure,0.04139503612160818
Age_Group,0.026182295279525373
Age,0.02441254772339159
Charge__Amount,0.018094944132883078
Tariff_Plan,0.0017864889914328956
